case_id,ct_exists,label_exists,nifti_valid,affine_valid,orientation_resolved,surface_extractable,surface_points_ge_4096,num_overlapping_targets,is_duplicate,is_possible_overlap,eligible,exclusion_reason
volume-48,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-49,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-50,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-51,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-52,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-53,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-54,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-55,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-56,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-57,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-58,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-59,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-60,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-61,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-62,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-63,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-64,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-65,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-66,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-67,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-68,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-69,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-70,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-71,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-72,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-73,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-74,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-75,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-76,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-77,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-78,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-79,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-80,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-81,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-82,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-83,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-84,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-85,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-86,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-87,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-88,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-89,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-90,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-91,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-92,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-93,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-94,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-95,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-96,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-97,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-98,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-99,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-100,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-101,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-102,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-103,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-104,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-105,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-106,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-107,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-108,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-109,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-110,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-111,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-112,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-113,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-114,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-115,YES,YES,YES,YES,YES,YES,YES,2,NO,NO,YES,NONE
volume-116,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-117,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-118,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-119,YES,YES,YES,YES,YES,YES,YES,2,NO,NO,YES,NONE
volume-120,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-121,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-122,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-123,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-124,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-125,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-126,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-127,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-128,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-129,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-130,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-131,YES,YES,YES,YES,YES,YES,YES,5,NO,NO,YES,NONE
volume-132,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-133,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-134,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-135,YES,YES,YES,YES,YES,YES,YES,5,NO,NO,YES,NONE
volume-136,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-137,YES,YES,YES,YES,YES,YES,YES,5,NO,NO,YES,NONE
volume-138,YES,YES,YES,YES,YES,YES,YES,5,NO,NO,YES,NONE
volume-139,YES,YES,YES,YES,YES,YES,YES,5,NO,NO,YES,NONE
