case_id,ctorg_sha256,source_provenance,exact_duplicate_with,near_duplicate_score,classification,include_primary
volume-35,630402f3cea65bafe366e5101dd44cb934c2646dbd5e1de9abaa89d1a0e09200,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-36,95f45d52beb67d17c3bf1a5312f012dbdeb4c251934538fd8d7066b3b6eed80f,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-37,fbf8335579185c897345f38fc2f65bcd1c42b01365b2996e38f9103cd9bb17e5,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-38,9ddb2b920aedfbb10d0d8cae7151ca6bfda53a6c895c417e392e5253925bfe37,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-39,2acba95a563a0379fe99cb78b0141f2bc6d1ade89c9b3aed20f48142a5d90baf,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-40,225061599ffbaab1fd7cfb9ff015830b9c36e0e62ecfc7181d975020110a93fe,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-41,8a1894edfd82294d030b18e1efc7e5e1d74404bf3d41528ec737a2ff74051ee0,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-42,85be52078c5506b7a7ad3385a99b1b251e0a9a0ae8e15aa8d2ae3192a1e38f6e,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-43,18c91b4239c111cf32996e5af4ed6160da38cf050fcb53720fc6104513ac3a40,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-44,bde162ab6f38ef49244c3ba493324aaa239d1ce31257f1dbb185fc6c837f65db,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-45,eb6765ee6d5d65b3bf6f1cdb07987311f62c54f75c2aa120e337781f4395e063,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-46,539c4b7e8057b1eb2c36fdabcb8e4cc18b4137d2d8a8ec4bdb1fe0b2e33fd4d8,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-47,d906bcf260182c083f730cd1154d14d2fcd9b48f140af85ea40b4d4a7a28da20,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-48,1244f967fb9ba9bed2577b52122b6a4ae968bc43665842116082441e469b619b,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-49,2fb3296572f0e440cefe92aff302899bed5964771b66b2a0f93ac00d81256eeb,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-50,47f26bebc96cd253c2e9e12bd29b88dfb4b634ea692abea03028469916a5da09,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-51,2dbb32210529752650620c8c22b583c0549432b12859442da2c2b1aeb1918dc2,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-52,3b6c10ad706405a7b36ec4b2928fd9616684687a3177f6ba913d616d8e604267,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-53,3d12f324980df13946f430c9d30f3ae665f2a9fd48ba16a1d6d4efa90a060577,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-54,27debcb973a9f9ffae140b081fa8d417de30868dfc1860463fc943c6676b061e,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-55,e3899f98b8d9827a01d1835ed9c44fb4c4dff2ed2029b75f5e8bae2ddcb015b8,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-56,801e7588fcea82df0e94ff0c5fbeef4d863e5cd48b6b7961262bfd99c9d93298,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-57,9d9809afdb22028fb89f298bc0daf1154e55ee195086f55e96d404f64339cea9,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-58,d43b3b719a0cb80ab0d38e316477a201ef29d928c42f32b34f2e9a8b096c9c7f,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-59,dfd12241e8d29f47cb63cad8a69d890f974c3105bbdf3fe1970c3f14628706ac,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-60,6cc0475b1f2c438622ea7ecf491ea70dfb4fb0cd83a44f005ffb04996111ea2a,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-61,20fa225a803ad9a3c926ad512b34c1748d386106704c4d057bf6eaf3ae2def72,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-62,a16dcaf269fe56b15f05453728cfd5d5187611f139f840efbb2302bbd8917945,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-63,c0ccdef629d5570d05db6922bdd11b76caf03dad203e42591af988573a7d84bf,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-64,7c71276583830a852e408e0433446fc5f7e0ed3afa31bb7f542889ddf0f536a0,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-65,a889d145875350bdc6f5bb20187a545f6e43e999ee716081dd25b60ca989ab23,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-66,8fcafb47a0e699a6b4315fb0c2890a4c40174f5519b9644d1b6cdaacb8f77daf,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-67,0fb2639185d795231178d44de3041c2d2b3f7688fb4e442e4d5157b8c910f865,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-68,ccb9c6ddad956758edf857c76f78194980a06fbdff03b8c560f5259f12d70878,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-69,e95a1fb75157e8c5ddc66149fd33a3dda28c5da4692b56dfe933bd3d2bec6158,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-70,9cc3d496af84ae11f0ceca558c663f769a5561d717c5d7c2289c49354d15eb08,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-71,d98be71123396387a1aa15246c7aa355ecd9edff8304259f9d5fa9a1d0035fdb,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-72,76494d51dd9eb4d740f104b11f1d5aa6a367851298432bbe51a9a53886368c29,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-73,c81566f71143997b2feaaf19560947daaf34921fa2e508a649605238dd0d8037,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-74,07fe54be338ae7bc51de60c9f8cf02d744e54554a54b2ba03f4f8da575a4a01f,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-75,fb24c36124e71dce67b295def23b631b86a90351ca4012f6bb7f6b846b99cd56,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-76,37d203c319441cc71435c6cc4f215de738682825de7eb30817b6c708579927a3,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-77,faa580eb1491a0a6a9b162a555a47968a6f3760c261095d7edaa4782f2b6ff7a,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-78,58a6edd010ea1623dccddb04b35dee353eabe1b2400f8c9ad8a951bf09c4505d,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-79,0650e85e28b10bf6f9d13e2bf7824aa878051e5a732cb51eb2c0b96497e62b13,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-80,7e7889e4505ecb7e6842d0b06d011ba80cf96a3243687aca90784a5ad4165e42,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-81,931fa1b5bcd959a39c4911daf3f93e029e74c68b60571003ebb7208c2e4f8e41,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-82,4a68c6aa111d130ba7ddd3f7b1b574f894e44e95cb7bca4cbb2b001d33b21c90,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-83,883e4ccf7857d6a3c29645fefbd89a3dd8c6d0b43423737f3a8f1af6101e36f3,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-84,f9b167823b2f2a4a738a90c5258f4ad994622afbd8d0c3551be8a1948fb154aa,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-85,f18c923799f4feff65f4ec470a3a05aa6ab1e0733794bd0b56aaa9899c6609e0,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-86,60b859eca5239825fda16f2f79683a989b2ad236a192c04f9c7380ff24864f03,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-87,bca1ae773bc69ba366ee43dff49cdc6fca36c8d164e37512f9093ddf757b9e57,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-88,3cb7ffc54fb2b3cf4da7521f6adf52ddea686b8364ede9616cab06c099794cd3,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-89,fd055404cd3afc1fca1b67efa1119da9063548e7c7bcadec2c03f0084febf0d1,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-90,667dd89d01412a1899afd6ce664b121144cdacdb925055f968547e0960937276,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-91,139ee6360ef3b7c6b1ae8c4cec23e4be7853580b43fb50bf15f24c26171335cd,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-92,68d002698f6aa49cabe6f6d7c7f2ffbe5e342b1408a664996a35ad3698f73be2,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-93,7d33286628e101c74eb43a98918b807d80a30bc7478fa0133ab6e010d12ecb5b,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-94,258394bfc99ff7d3204c11e324f8dd51c84e2b5093da3e4b5fa7bb7c2d958fcc,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-95,a4a34ee21f90f63ba9914f4c4934d4f462dd37ff30337b734f3f7cf8795e2b80,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-96,7dd71e6bca3d9e5dedb52269101eca978a1411a89213f2850e39893468b28a91,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-97,f54b3f6393ec80ef6050bda4c601e54c1672e801c005239a89c4c5a4a9ed65c8,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-98,2ff01970fe04a6b31a7fe9bce3b465f81db0e9d3060fef7a3fed8ce56ea007c2,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-99,838594b89647a68362c8f0db139f050c16265aafa7cf3ea27628d25d6b4404eb,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-100,fb92bb10188e4dd8ec80f82ed98d4b7f68caff7dc5a14a5b10a97109bf1912db,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-101,d2511a901456b254f173bc312fdf7e0e3e34737546f613140a8d6b3eeb7e413a,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-102,d49677ed818c2d85a3389947ab87c58faae56d64995b1c0457205dcc76dbd93a,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-103,b1af35d8616c4661659700a900e1a955c5777ff772df8ebda54688f46cf42c22,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-104,232e99a259e2d9212a1ea30ac57c2d3b83f8699ebe3c55138af80d82e4a33908,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-105,222267a161b18ce2167606bb90cb94fb7aea4c7c7f9f9abe7cd45c4f103bb86d,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-106,bbac42dd6b14bcf7f4a345d4d3b06e29730870db9321bde117d04a7a25c6f278,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-107,4509ea444f9bc9a9803e891922a1f81d1170dd11752ed8b1f81256ca28332fb9,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-108,daade65930efa537768a96eae8e1c1879102cbdb765a639b23d65734404b573f,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-109,fe45e698752d0574e11235e8f351b936c464f148214f7fc412a07eb3d6f3cca7,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-110,40d2bc52c4756a9e0ea3ea16f6fe103fea539c2c36dbe961c647dc9891f8d8a9,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-111,1b382a6915d74e375673e243d22e931ba5a888d6ef6b2aee1b89023f477aa091,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-112,bb0c93d1aa79faefa2f353d7759194bedb81d1bd8affa462ff2fba66c063af1b,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-113,0254826d2f8d547f5c05c9117ffdfb1ed1552ccff7fdd5e4a7990caf8e3de175,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-114,1708edc743a620f4f1e542d0d699147856530547b851b74a78c3f50bd4a54b5a,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-115,e1b3bb5b1546e5cf5acd684372c94ef5ca4f87e88e9130f19648cff7a1a3d58b,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-116,9cabfdbb4b1a1018531000b80e083b4666bd54ec4332b6d94560e116b6577ebd,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-117,afbeed113c81f849a5bc95fc1f88e636002963fba362afaa3471ee9996330320,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-118,9e84fb632eba1a4efb771f0ce48ba66a31862e3c9e6312f7f196c430bf28d69d,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-119,69c6d4f9ef33fd9b4aefa6e143d8fe65af8b478fb82461c6f4960d1ecb3fcbb5,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-120,5a45c2769ab2a99ab5a5fb054bea913f171d1235124ff24bbc717f037e1327a6,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-121,2f2234f4e8f8a2676524d0b34c9e5173a4225909479a41d5584432c2cfad542f,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-122,2bba08ab4a4cd47cb6e5abd7dafc9fa4fca4c4f71b4362104b7f8f03b0686501,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-123,d22e7e4318353e22a8edf2d36269016b6324abbe8310d90e6170efaa01ae1a63,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-124,e0d3d36b77e70e662c8f0d74d8958a716e174af536b6e5924adae476d6d4543c,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-125,ba725a7911197cb5331df643ab299192e500ce474a6928b203623f0356bb2817,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-126,c1466ae9e96c53872389ae23bb0dc1194895319bd980b66ce19af160d2f1e34a,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-127,3a85292528283aed6d17e00f26d05f71c08881e7ff4e56f6cb4df1e48e3dc9a6,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-128,5e1a2b1612d407befbe4c3044e6ad76f61eb6af05c2aa6654ce5a12787496e1e,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-129,9153679c576ef9f6f1142271edddfd3ca58d66586b8a89a6bc73c3895126b111,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-130,ad112524074a838ad4ce8947258bbb7099db684543363537c52863cc5b976dfc,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-131,0614536ac7ba177c2a1e1d5f3a10a005324ff818f9b5c228ae327ebbc6caa1b0,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-132,5eae114aa4eb5dbede154784f6e6e72f1d2c853c30c1091405cb43c7d2aa3510,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-133,ad191e345399c8b9fc520f58ac71e242e0cc007cba46a00ab917806f289037b2,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-134,0bd83a805103e6701e8de6e5e17acba759c23f70d68ce84fee4a3c12e322ba26,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-135,8ab706c1de7649d44318b3e24d509363248451f94e611b13088d7c8d2becf9e7,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-136,0bd7321a10500b6c17a60645471fa19c37211a10e8d8a1dbcbb9205dc51be161,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-137,4fb3f4d00183b15e2ce346dd9ef9751259a8e8282540e8d9014ab4ef71062b42,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-138,5e22ef9b42c8e6d5d83b6e956d7e57f2866d2e76816dd08d921713831d84a47b,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
volume-139,88eb3a9dc1a0f3cd0b15772ac24f3c5e2d6dfd3b12bacc14a86847f424da28b9,Stanford PET-CT,NONE,0.0,CONFIRMED_NEW,YES
