target_index,target_name,tier,train_valid_count,val_valid_count,total_genuine_count,description
99,rib_right_2,TIER_A,352,43,439,Robust support: >=100 train and >=15 val genuine observations
100,rib_right_3,TIER_A,351,43,438,Robust support: >=100 train and >=15 val genuine observations
101,rib_right_4,TIER_A,351,44,438,Robust support: >=100 train and >=15 val genuine observations
102,rib_right_5,TIER_A,347,44,434,Robust support: >=100 train and >=15 val genuine observations
103,rib_right_6,TIER_B,88,10,110,Moderate support: >=40 train and >=5 val observations
104,rib_right_7,TIER_B,88,10,110,Moderate support: >=40 train and >=5 val observations
105,rib_right_8,TIER_B,100,10,124,Moderate support: >=40 train and >=5 val observations
106,rib_right_9,TIER_A,173,25,219,Robust support: >=100 train and >=15 val genuine observations
107,rib_right_10,TIER_A,271,32,335,Robust support: >=100 train and >=15 val genuine observations
108,rib_right_11,TIER_A,339,37,416,Robust support: >=100 train and >=15 val genuine observations
109,rib_right_12,TIER_A,352,43,438,Robust support: >=100 train and >=15 val genuine observations
110,sternum,TIER_A,351,43,438,Robust support: >=100 train and >=15 val genuine observations
111,costal_cartilages,TIER_A,351,43,438,Robust support: >=100 train and >=15 val genuine observations
112,atrial_appendage_left,TIER_A,351,43,438,Robust support: >=100 train and >=15 val genuine observations
113,subclavian_vein_right,TIER_A,351,44,438,Robust support: >=100 train and >=15 val genuine observations
114,subclavian_vein_left,TIER_A,350,44,437,Robust support: >=100 train and >=15 val genuine observations
115,brachiocephalic_vein_right,TIER_A,299,35,367,Robust support: >=100 train and >=15 val genuine observations
116,brachiocephalic_vein_left,TIER_A,352,43,439,Robust support: >=100 train and >=15 val genuine observations
117,uterus,SYNTHETIC,0,0,0,Procedural female pelvic structure; excluded from primary benchmark
118,ovary_left,SYNTHETIC,0,0,0,Procedural female pelvic structure; excluded from primary benchmark
119,ovary_right,SYNTHETIC,0,0,0,Procedural female pelvic structure; excluded from primary benchmark
120,vagina,SYNTHETIC,0,0,0,Procedural female pelvic structure; excluded from primary benchmark
