case_id,classification,dimensions,spacing,notes
FLARE22_Tr_0035,CONFIRMED_NEW,"(512, 512, 101)","(np.float32(0.976562), np.float32(0.976562), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0036,CONFIRMED_NEW,"(512, 512, 89)","(np.float32(0.773438), np.float32(0.773438), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0037,CONFIRMED_NEW,"(512, 512, 79)","(np.float32(0.730469), np.float32(0.730469), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0038,CONFIRMED_NEW,"(512, 512, 109)","(np.float32(0.837891), np.float32(0.837891), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0039,CONFIRMED_NEW,"(512, 512, 100)","(np.float32(0.880859), np.float32(0.880859), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0040,CONFIRMED_NEW,"(512, 512, 93)","(np.float32(0.767578), np.float32(0.767578), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0041,CONFIRMED_NEW,"(512, 512, 98)","(np.float32(0.779297), np.float32(0.779297), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0042,CONFIRMED_NEW,"(512, 512, 93)","(np.float32(0.835938), np.float32(0.835938), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0043,CONFIRMED_NEW,"(512, 512, 85)","(np.float32(0.867188), np.float32(0.867188), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0044,CONFIRMED_NEW,"(512, 512, 83)","(np.float32(0.947266), np.float32(0.947266), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0045,CONFIRMED_NEW,"(512, 512, 113)","(np.float32(0.976562), np.float32(0.976562), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0046,CONFIRMED_NEW,"(512, 512, 93)","(np.float32(0.722656), np.float32(0.722656), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0047,CONFIRMED_NEW,"(512, 512, 113)","(np.float32(0.962891), np.float32(0.962891), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0048,CONFIRMED_NEW,"(512, 512, 95)","(np.float32(0.779297), np.float32(0.779297), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0049,CONFIRMED_NEW,"(512, 512, 87)","(np.float32(0.765625), np.float32(0.765625), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0050,CONFIRMED_NEW,"(512, 512, 95)","(np.float32(0.820312), np.float32(0.820312), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
