source,case_id,subject_id,ct_shape,mask_shape,affine_max_difference,spacing_difference,orientation_ct,orientation_mask,geometry_status
v2,case_039,v2_case_039,"(768, 768, 96)","(768, 768, 96)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_040,v2_case_040,"(768, 768, 96)","(768, 768, 96)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_041,v2_case_041,"(768, 768, 102)","(768, 768, 102)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_042,v2_case_042,"(768, 768, 95)","(768, 768, 95)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_043,v2_case_043,"(768, 768, 90)","(768, 768, 90)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_044,v2_case_044,"(512, 512, 112)","(512, 512, 112)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_045,v2_case_045,"(768, 768, 87)","(768, 768, 87)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_046,v2_case_046,"(768, 768, 95)","(768, 768, 95)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_047,v2_case_047,"(512, 512, 78)","(512, 512, 78)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_048,v2_case_048,"(768, 768, 112)","(768, 768, 112)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_049,v2_case_049,"(512, 512, 85)","(512, 512, 85)",0.000000,0.000000,LAS,LAS,PASSED
totalsegmentator,s1366,totalseg_s1366,"(333, 333, 336)","(333, 333, 336)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0245,totalseg_s0245,"(277, 277, 95)","(277, 277, 95)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0325,totalseg_s0325,"(315, 315, 293)","(315, 315, 293)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0320,totalseg_s0320,"(272, 272, 282)","(272, 272, 282)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0193,totalseg_s0193,"(278, 174, 278)","(278, 174, 278)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0189,totalseg_s0189,"(254, 174, 440)","(254, 174, 440)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0330,totalseg_s0330,"(330, 330, 88)","(330, 330, 88)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0329,totalseg_s0329,"(304, 329, 329)","(304, 329, 329)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0326,totalseg_s0326,"(217, 168, 217)","(217, 168, 217)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0328,totalseg_s0328,"(265, 265, 269)","(265, 265, 269)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0322,totalseg_s0322,"(299, 299, 209)","(299, 299, 209)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0321,totalseg_s0321,"(272, 272, 303)","(272, 272, 303)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0327,totalseg_s0327,"(222, 166, 429)","(222, 166, 429)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0324,totalseg_s0324,"(201, 201, 261)","(201, 201, 261)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0049,totalseg_s0049,"(221, 221, 455)","(221, 221, 455)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0315,totalseg_s0315,"(297, 297, 305)","(297, 297, 305)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0295,totalseg_s0295,"(99, 122, 122)","(99, 122, 122)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0311,totalseg_s0311,"(292, 164, 292)","(292, 164, 292)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0319,totalseg_s0319,"(270, 213, 338)","(270, 213, 338)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0316,totalseg_s0316,"(225, 225, 58)","(225, 225, 58)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0304,totalseg_s0304,"(234, 231, 231)","(234, 231, 231)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0241,totalseg_s0241,"(257, 257, 171)","(257, 257, 171)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0314,totalseg_s0314,"(299, 299, 273)","(299, 299, 273)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0313,totalseg_s0313,"(109, 109, 170)","(109, 109, 170)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0312,totalseg_s0312,"(95, 95, 131)","(95, 95, 131)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0271,totalseg_s0271,"(221, 221, 255)","(221, 221, 255)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0310,totalseg_s0310,"(235, 235, 184)","(235, 235, 184)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0298,totalseg_s0298,"(348, 206, 348)","(348, 206, 348)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0300,totalseg_s0300,"(325, 325, 278)","(325, 325, 278)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0308,totalseg_s0308,"(271, 166, 391)","(271, 166, 391)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0306,totalseg_s0306,"(245, 202, 225)","(245, 202, 225)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0305,totalseg_s0305,"(319, 319, 98)","(319, 319, 98)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0303,totalseg_s0303,"(252, 231, 231)","(252, 231, 231)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0301,totalseg_s0301,"(253, 138, 253)","(253, 138, 253)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0290,totalseg_s0290,"(285, 285, 115)","(285, 285, 115)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0307,totalseg_s0307,"(240, 240, 287)","(240, 240, 287)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0291,totalseg_s0291,"(251, 226, 251)","(251, 226, 251)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0294,totalseg_s0294,"(301, 301, 71)","(301, 301, 71)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0292,totalseg_s0292,"(148, 148, 233)","(148, 148, 233)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0111,totalseg_s0111,"(221, 221, 247)","(221, 221, 247)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0285,totalseg_s0285,"(333, 333, 181)","(333, 333, 181)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0289,totalseg_s0289,"(145, 145, 233)","(145, 145, 233)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0287,totalseg_s0287,"(317, 317, 835)","(317, 317, 835)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0288,totalseg_s0288,"(111, 111, 152)","(111, 111, 152)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0281,totalseg_s0281,"(184, 174, 184)","(184, 174, 184)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0286,totalseg_s0286,"(261, 261, 156)","(261, 261, 156)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0283,totalseg_s0283,"(232, 232, 96)","(232, 232, 96)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0279,totalseg_s0279,"(184, 173, 173)","(184, 173, 173)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0270,totalseg_s0270,"(333, 333, 91)","(333, 333, 91)",0.000000,0.000000,RAS,RAS,PASSED
totalsegmentator,s0296,totalseg_s0296,"(80, 80, 60)","(80, 80, 60)",0.000000,0.000000,RAS,RAS,PASSED
