source_label_id,source_label_name,source_description,annotation_provenance
44,vertebrae_C5,AMOS 2022 / Dataset V2 vertebrae_C5,MANUAL_OR_EXPERT_VALIDATED
45,vertebrae_C4,AMOS 2022 / Dataset V2 vertebrae_C4,MANUAL_OR_EXPERT_VALIDATED
46,vertebrae_C3,AMOS 2022 / Dataset V2 vertebrae_C3,MANUAL_OR_EXPERT_VALIDATED
47,vertebrae_C2,AMOS 2022 / Dataset V2 vertebrae_C2,MANUAL_OR_EXPERT_VALIDATED
48,vertebrae_C1,AMOS 2022 / Dataset V2 vertebrae_C1,MANUAL_OR_EXPERT_VALIDATED
49,heart,AMOS 2022 / Dataset V2 heart,MANUAL_OR_EXPERT_VALIDATED
50,aorta,AMOS 2022 / Dataset V2 aorta,MANUAL_OR_EXPERT_VALIDATED
51,pulmonary_vein,AMOS 2022 / Dataset V2 pulmonary_vein,MANUAL_OR_EXPERT_VALIDATED
52,brachiocephalic_trunk,AMOS 2022 / Dataset V2 brachiocephalic_trunk,MANUAL_OR_EXPERT_VALIDATED
53,subclavian_artery_right,AMOS 2022 / Dataset V2 subclavian_artery_right,MANUAL_OR_EXPERT_VALIDATED
54,subclavian_artery_left,AMOS 2022 / Dataset V2 subclavian_artery_left,MANUAL_OR_EXPERT_VALIDATED
55,common_carotid_artery_right,AMOS 2022 / Dataset V2 common_carotid_artery_right,MANUAL_OR_EXPERT_VALIDATED
56,common_carotid_artery_left,AMOS 2022 / Dataset V2 common_carotid_artery_left,MANUAL_OR_EXPERT_VALIDATED
57,superior_vena_cava,AMOS 2022 / Dataset V2 superior_vena_cava,MANUAL_OR_EXPERT_VALIDATED
58,inferior_vena_cava,AMOS 2022 / Dataset V2 inferior_vena_cava,MANUAL_OR_EXPERT_VALIDATED
59,portal_vein_and_splenic_vein,AMOS 2022 / Dataset V2 portal_vein_and_splenic_vein,MANUAL_OR_EXPERT_VALIDATED
60,iliac_artery_right,AMOS 2022 / Dataset V2 iliac_artery_right,MANUAL_OR_EXPERT_VALIDATED
61,iliac_artery_left,AMOS 2022 / Dataset V2 iliac_artery_left,MANUAL_OR_EXPERT_VALIDATED
62,iliac_vena_right,AMOS 2022 / Dataset V2 iliac_vena_right,MANUAL_OR_EXPERT_VALIDATED
63,iliac_vena_left,AMOS 2022 / Dataset V2 iliac_vena_left,MANUAL_OR_EXPERT_VALIDATED
64,humerus_right,AMOS 2022 / Dataset V2 humerus_right,MANUAL_OR_EXPERT_VALIDATED
65,humerus_left,AMOS 2022 / Dataset V2 humerus_left,MANUAL_OR_EXPERT_VALIDATED
66,scapula_right,AMOS 2022 / Dataset V2 scapula_right,MANUAL_OR_EXPERT_VALIDATED
67,scapula_left,AMOS 2022 / Dataset V2 scapula_left,MANUAL_OR_EXPERT_VALIDATED
68,clavicula_right,AMOS 2022 / Dataset V2 clavicula_right,MANUAL_OR_EXPERT_VALIDATED
69,clavicula_left,AMOS 2022 / Dataset V2 clavicula_left,MANUAL_OR_EXPERT_VALIDATED
70,femur_right,AMOS 2022 / Dataset V2 femur_right,MANUAL_OR_EXPERT_VALIDATED
71,femur_left,AMOS 2022 / Dataset V2 femur_left,MANUAL_OR_EXPERT_VALIDATED
72,hip_right,AMOS 2022 / Dataset V2 hip_right,MANUAL_OR_EXPERT_VALIDATED
73,hip_left,AMOS 2022 / Dataset V2 hip_left,MANUAL_OR_EXPERT_VALIDATED
74,spinal_cord,AMOS 2022 / Dataset V2 spinal_cord,MANUAL_OR_EXPERT_VALIDATED
75,gluteus_maximus_right,AMOS 2022 / Dataset V2 gluteus_maximus_right,MANUAL_OR_EXPERT_VALIDATED
76,gluteus_maximus_left,AMOS 2022 / Dataset V2 gluteus_maximus_left,MANUAL_OR_EXPERT_VALIDATED
77,gluteus_medius_right,AMOS 2022 / Dataset V2 gluteus_medius_right,MANUAL_OR_EXPERT_VALIDATED
78,gluteus_medius_left,AMOS 2022 / Dataset V2 gluteus_medius_left,MANUAL_OR_EXPERT_VALIDATED
79,gluteus_minimus_right,AMOS 2022 / Dataset V2 gluteus_minimus_right,MANUAL_OR_EXPERT_VALIDATED
80,gluteus_minimus_left,AMOS 2022 / Dataset V2 gluteus_minimus_left,MANUAL_OR_EXPERT_VALIDATED
81,autochthon_right,AMOS 2022 / Dataset V2 autochthon_right,MANUAL_OR_EXPERT_VALIDATED
82,autochthon_left,AMOS 2022 / Dataset V2 autochthon_left,MANUAL_OR_EXPERT_VALIDATED
83,iliopsoas_right,AMOS 2022 / Dataset V2 iliopsoas_right,MANUAL_OR_EXPERT_VALIDATED
84,iliopsoas_left,AMOS 2022 / Dataset V2 iliopsoas_left,MANUAL_OR_EXPERT_VALIDATED
85,brain,AMOS 2022 / Dataset V2 brain,MANUAL_OR_EXPERT_VALIDATED
86,skull,AMOS 2022 / Dataset V2 skull,MANUAL_OR_EXPERT_VALIDATED
87,rib_left_1,AMOS 2022 / Dataset V2 rib_left_1,MANUAL_OR_EXPERT_VALIDATED
88,rib_left_2,AMOS 2022 / Dataset V2 rib_left_2,MANUAL_OR_EXPERT_VALIDATED
89,rib_left_3,AMOS 2022 / Dataset V2 rib_left_3,MANUAL_OR_EXPERT_VALIDATED
90,rib_left_4,AMOS 2022 / Dataset V2 rib_left_4,MANUAL_OR_EXPERT_VALIDATED
91,rib_left_5,AMOS 2022 / Dataset V2 rib_left_5,MANUAL_OR_EXPERT_VALIDATED
92,rib_left_6,AMOS 2022 / Dataset V2 rib_left_6,MANUAL_OR_EXPERT_VALIDATED
93,rib_left_7,AMOS 2022 / Dataset V2 rib_left_7,MANUAL_OR_EXPERT_VALIDATED
94,rib_left_8,AMOS 2022 / Dataset V2 rib_left_8,MANUAL_OR_EXPERT_VALIDATED
95,rib_left_9,AMOS 2022 / Dataset V2 rib_left_9,MANUAL_OR_EXPERT_VALIDATED
96,rib_left_10,AMOS 2022 / Dataset V2 rib_left_10,MANUAL_OR_EXPERT_VALIDATED
97,rib_left_11,AMOS 2022 / Dataset V2 rib_left_11,MANUAL_OR_EXPERT_VALIDATED
98,rib_left_12,AMOS 2022 / Dataset V2 rib_left_12,MANUAL_OR_EXPERT_VALIDATED
99,rib_right_1,AMOS 2022 / Dataset V2 rib_right_1,MANUAL_OR_EXPERT_VALIDATED
100,rib_right_2,AMOS 2022 / Dataset V2 rib_right_2,MANUAL_OR_EXPERT_VALIDATED
101,rib_right_3,AMOS 2022 / Dataset V2 rib_right_3,MANUAL_OR_EXPERT_VALIDATED
102,rib_right_4,AMOS 2022 / Dataset V2 rib_right_4,MANUAL_OR_EXPERT_VALIDATED
103,rib_right_5,AMOS 2022 / Dataset V2 rib_right_5,MANUAL_OR_EXPERT_VALIDATED
104,rib_right_6,AMOS 2022 / Dataset V2 rib_right_6,MANUAL_OR_EXPERT_VALIDATED
105,rib_right_7,AMOS 2022 / Dataset V2 rib_right_7,MANUAL_OR_EXPERT_VALIDATED
106,rib_right_8,AMOS 2022 / Dataset V2 rib_right_8,MANUAL_OR_EXPERT_VALIDATED
107,rib_right_9,AMOS 2022 / Dataset V2 rib_right_9,MANUAL_OR_EXPERT_VALIDATED
108,rib_right_10,AMOS 2022 / Dataset V2 rib_right_10,MANUAL_OR_EXPERT_VALIDATED
109,rib_right_11,AMOS 2022 / Dataset V2 rib_right_11,MANUAL_OR_EXPERT_VALIDATED
110,rib_right_12,AMOS 2022 / Dataset V2 rib_right_12,MANUAL_OR_EXPERT_VALIDATED
111,sternum,AMOS 2022 / Dataset V2 sternum,MANUAL_OR_EXPERT_VALIDATED
112,costal_cartilages,AMOS 2022 / Dataset V2 costal_cartilages,MANUAL_OR_EXPERT_VALIDATED
113,atrial_appendage_left,AMOS 2022 / Dataset V2 atrial_appendage_left,MANUAL_OR_EXPERT_VALIDATED
114,subclavian_vein_right,AMOS 2022 / Dataset V2 subclavian_vein_right,MANUAL_OR_EXPERT_VALIDATED
115,subclavian_vein_left,AMOS 2022 / Dataset V2 subclavian_vein_left,MANUAL_OR_EXPERT_VALIDATED
116,brachiocephalic_vein_right,AMOS 2022 / Dataset V2 brachiocephalic_vein_right,MANUAL_OR_EXPERT_VALIDATED
117,brachiocephalic_vein_left,AMOS 2022 / Dataset V2 brachiocephalic_vein_left,MANUAL_OR_EXPERT_VALIDATED
118,uterus,AMOS 2022 / Dataset V2 uterus,MANUAL_OR_EXPERT_VALIDATED
119,ovary_left,AMOS 2022 / Dataset V2 ovary_left,MANUAL_OR_EXPERT_VALIDATED
120,ovary_right,AMOS 2022 / Dataset V2 ovary_right,MANUAL_OR_EXPERT_VALIDATED
121,vagina,AMOS 2022 / Dataset V2 vagina,MANUAL_OR_EXPERT_VALIDATED
