target_index,target_name,category,source_type,train_valid_count,val_valid_count,test_valid_count,total_valid_count,percentage_valid
56,superior_vena_cava,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
57,inferior_vena_cava,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
58,portal_vein_and_splenic_vein,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
59,iliac_artery_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
60,iliac_artery_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,121,13,17,151,34.3%
61,iliac_vena_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,127,14,19,160,36.4%
62,iliac_vena_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,43,44,439,99.8%
63,humerus_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,349,43,43,435,98.9%
64,humerus_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,39,43,422,95.9%
65,scapula_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,39,43,422,95.9%
66,scapula_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,39,43,422,95.9%
67,clavicula_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,39,43,422,95.9%
68,clavicula_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,90,11,12,113,25.7%
69,femur_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,90,11,13,114,25.9%
70,femur_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,188,20,24,232,52.7%
71,hip_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,182,20,26,228,51.8%
72,hip_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,89,10,12,111,25.2%
73,spinal_cord,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,89,10,12,111,25.2%
74,gluteus_maximus_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,331,39,41,411,93.4%
75,gluteus_maximus_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,333,39,41,413,93.9%
76,gluteus_medius_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,40,43,423,96.1%
77,gluteus_medius_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,41,43,424,96.4%
78,gluteus_minimus_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,44,44,440,100.0%
79,gluteus_minimus_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,336,39,43,418,95.0%
80,autochthon_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,337,39,43,419,95.2%
81,autochthon_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,39,43,422,95.9%
82,iliopsoas_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,340,40,43,423,96.1%
83,iliopsoas_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,335,39,42,416,94.5%
84,brain,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,334,39,42,415,94.3%
85,skull,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,44,44,440,100.0%
86,rib_left_1,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,44,44,440,100.0%
87,rib_left_2,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,349,44,43,436,99.1%
88,rib_left_3,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,349,44,43,436,99.1%
89,rib_left_4,VERY_LOW_SUPPORT,REAL_SEGMENTATION,2,0,1,3,0.7%
90,rib_left_5,LOW_SUPPORT,REAL_SEGMENTATION,16,3,4,23,5.2%
91,rib_left_6,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
92,rib_left_7,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,89,10,12,111,25.2%
93,rib_left_8,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,97,10,13,120,27.3%
94,rib_left_9,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,173,24,22,219,49.8%
95,rib_left_10,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,276,33,33,342,77.7%
96,rib_left_11,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,338,39,41,418,95.0%
97,rib_left_12,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,43,43,437,99.3%
98,rib_right_1,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,43,44,439,99.8%
99,rib_right_2,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,43,44,439,99.8%
100,rib_right_3,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,43,44,438,99.5%
101,rib_right_4,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,43,438,99.5%
102,rib_right_5,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,347,44,43,434,98.6%
103,rib_right_6,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
104,rib_right_7,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
105,rib_right_8,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,100,10,14,124,28.2%
106,rib_right_9,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,173,25,21,219,49.8%
107,rib_right_10,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,271,32,32,335,76.1%
108,rib_right_11,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,339,37,40,416,94.5%
109,rib_right_12,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,43,43,438,99.5%
110,sternum,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,43,44,438,99.5%
111,costal_cartilages,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,43,44,438,99.5%
112,atrial_appendage_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,43,44,438,99.5%
113,subclavian_vein_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,43,438,99.5%
114,subclavian_vein_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,350,44,43,437,99.3%
115,brachiocephalic_vein_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,299,35,33,367,83.4%
116,brachiocephalic_vein_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,43,44,439,99.8%
117,uterus,SYNTHETIC_ONLY,SYNTHETIC,140,18,17,175,39.8%
118,ovary_left,SYNTHETIC_ONLY,SYNTHETIC,139,18,17,174,39.5%
119,ovary_right,SYNTHETIC_ONLY,SYNTHETIC,138,18,17,173,39.3%
120,vagina,SYNTHETIC_ONLY,SYNTHETIC,138,18,17,173,39.3%
