target_index,target_name,provenance,primary_benchmark_mask,notes
66,scapula_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
67,clavicula_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
68,clavicula_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
69,femur_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
70,femur_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
71,hip_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
72,hip_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
73,spinal_cord,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
74,gluteus_maximus_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
75,gluteus_maximus_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
76,gluteus_medius_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
77,gluteus_medius_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
78,gluteus_minimus_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
79,gluteus_minimus_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
80,autochthon_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
81,autochthon_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
82,iliopsoas_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
83,iliopsoas_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
84,brain,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
85,skull,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
86,rib_left_1,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
87,rib_left_2,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
88,rib_left_3,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
89,rib_left_4,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
90,rib_left_5,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
91,rib_left_6,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
92,rib_left_7,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
93,rib_left_8,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
94,rib_left_9,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
95,rib_left_10,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
96,rib_left_11,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
97,rib_left_12,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
98,rib_right_1,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
99,rib_right_2,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
100,rib_right_3,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
101,rib_right_4,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
102,rib_right_5,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
103,rib_right_6,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
104,rib_right_7,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
105,rib_right_8,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
106,rib_right_9,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
107,rib_right_10,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
108,rib_right_11,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
109,rib_right_12,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
110,sternum,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
111,costal_cartilages,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
112,atrial_appendage_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
113,subclavian_vein_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
114,subclavian_vein_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
115,brachiocephalic_vein_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
116,brachiocephalic_vein_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
117,uterus,SYNTHETIC,0,Procedural ellipsoidal fallback; excluded from primary clinical benchmark
118,ovary_left,SYNTHETIC,0,Procedural ellipsoidal fallback; excluded from primary clinical benchmark
119,ovary_right,SYNTHETIC,0,Procedural ellipsoidal fallback; excluded from primary clinical benchmark
120,vagina,SYNTHETIC,0,Procedural ellipsoidal fallback; excluded from primary clinical benchmark
