patient_id,train,validation,test,duplicate_content_detected
case_300,True,False,False,False
case_301,True,False,False,False
case_302,True,False,False,False
case_303,True,False,False,False
case_304,True,False,False,False
case_305,True,False,False,False
case_306,True,False,False,False
case_307,True,False,False,False
case_308,True,False,False,False
case_309,True,False,False,False
case_310,True,False,False,False
case_311,True,False,False,False
case_312,True,False,False,False
case_313,False,True,False,False
case_314,False,False,True,False
case_315,True,False,False,False
case_316,True,False,False,False
case_317,True,False,False,False
case_318,False,True,False,False
case_319,True,False,False,False
case_320,True,False,False,False
case_321,False,True,False,False
case_322,True,False,False,False
case_323,True,False,False,False
case_324,True,False,False,False
case_325,True,False,False,False
case_326,True,False,False,True
case_327,True,False,False,False
case_328,False,True,False,False
case_329,False,False,True,False
case_330,True,False,False,False
case_331,True,False,False,False
case_332,True,False,False,False
case_333,True,False,False,False
case_334,True,False,False,False
case_335,True,False,False,False
case_336,True,False,False,False
case_337,False,False,True,False
case_338,True,False,False,False
case_339,True,False,False,False
case_340,True,False,False,False
case_341,True,False,False,False
case_342,False,True,False,False
case_343,True,False,False,False
case_344,True,False,False,True
case_345,False,True,False,False
case_346,True,False,False,False
case_347,True,False,False,False
case_348,True,False,False,False
case_349,True,False,False,False
case_350,True,False,False,False
case_351,True,False,False,False
case_352,False,False,True,False
case_353,False,False,True,False
case_354,True,False,False,False
case_355,True,False,False,False
case_356,True,False,False,False
case_357,False,True,False,False
case_358,False,False,True,False
case_359,True,False,False,False
case_360,True,False,False,False
case_361,False,False,True,False
case_362,True,False,False,False
case_363,True,False,False,False
case_364,True,False,False,False
case_365,False,True,False,False
case_366,True,False,False,False
case_367,True,False,False,False
case_368,True,False,False,False
case_369,True,False,False,False
case_370,True,False,False,False
case_371,True,False,False,False
case_372,True,False,False,False
case_373,False,False,True,False
case_374,False,False,True,False
case_375,True,False,False,False
case_376,True,False,False,False
case_377,True,False,False,False
case_378,True,False,False,False
case_379,True,False,False,False
case_380,True,False,False,False
case_381,True,False,False,False
case_382,True,False,False,False
case_383,True,False,False,False
case_384,True,False,False,False
case_385,True,False,False,False
case_386,True,False,False,False
case_387,True,False,False,False
case_388,True,False,False,False
case_389,True,False,False,False
case_390,True,False,False,False
case_391,True,False,False,False
case_392,True,False,False,False
case_393,True,False,False,False
case_394,True,False,False,False
case_395,True,False,False,False
case_396,True,False,False,False
case_397,True,False,False,False
case_398,True,False,False,False
case_399,True,False,False,False
case_400,True,False,False,True
case_401,True,False,False,False
case_402,False,True,False,True
case_403,True,False,False,False
case_404,True,False,False,True
case_405,False,True,False,False
case_406,False,False,True,True
case_407,False,True,False,True
case_408,False,True,False,True
case_409,True,False,False,True
case_410,True,False,False,False
case_411,True,False,False,True
case_412,False,True,False,True
case_413,True,False,False,True
case_414,True,False,False,False
case_415,True,False,False,False
case_416,False,False,True,False
case_417,True,False,False,False
case_418,True,False,False,True
case_419,False,False,True,False
case_420,True,False,False,False
case_421,True,False,False,False
case_422,True,False,False,False
case_424,False,False,True,False
case_425,True,False,False,False
case_426,True,False,False,False
case_427,True,False,False,False
case_428,True,False,False,False
case_429,True,False,False,False
case_430,False,True,False,False
case_431,True,False,False,False
case_432,True,False,False,False
case_433,True,False,False,False
case_434,True,False,False,False
case_435,False,False,True,False
case_438,True,False,False,False
case_439,True,False,False,False
case_441,True,False,False,False
case_443,True,False,False,False
case_444,False,True,False,False
case_449,True,False,False,False
case_450,False,True,False,False
case_451,True,False,False,False
case_452,True,False,False,False
case_454,False,True,False,False
case_457,True,False,False,False
case_458,True,False,False,False
case_459,False,False,True,False
case_461,False,True,False,False
case_463,False,True,False,False
