target_index,target_name,anatomical_group,skeletal_or_soft_tissue,generation_method,source_file,validity_rule,sex_specific,notes
75,gluteus_maximus_left,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
76,gluteus_medius_right,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
77,gluteus_medius_left,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
78,gluteus_minimus_right,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
79,gluteus_minimus_left,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
80,autochthon_right,Skeletal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
81,autochthon_left,Skeletal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
82,iliopsoas_right,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
83,iliopsoas_left,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
84,brain,Skeletal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
85,skull,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
86,rib_left_1,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
87,rib_left_2,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
88,rib_left_3,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
89,rib_left_4,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
90,rib_left_5,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
91,rib_left_6,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
92,rib_left_7,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
93,rib_left_8,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
94,rib_left_9,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
95,rib_left_10,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
96,rib_left_11,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
97,rib_left_12,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
98,rib_right_1,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
99,rib_right_2,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
100,rib_right_3,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
101,rib_right_4,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
102,rib_right_5,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
103,rib_right_6,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
104,rib_right_7,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
105,rib_right_8,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
106,rib_right_9,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
107,rib_right_10,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
108,rib_right_11,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
109,rib_right_12,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
110,sternum,Thoracic,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
111,costal_cartilages,Thoracic,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
112,atrial_appendage_left,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
113,subclavian_vein_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
114,subclavian_vein_left,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
115,brachiocephalic_vein_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
